"date","link"
2025-05-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736112"
2025-05-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736113"
2025-05-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736114"
2025-05-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736115"
2025-05-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736116"
2025-05-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736117"
2025-05-18,"https://www.espn.com/wnba/boxscore/_/gameId/401736118"
2025-05-18,"https://www.espn.com/wnba/boxscore/_/gameId/401736119"
2025-05-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736120"
2025-05-20,"https://www.espn.com/wnba/boxscore/_/gameId/401736121"
2025-05-20,"https://www.espn.com/wnba/boxscore/_/gameId/401736122"
2025-05-21,"https://www.espn.com/wnba/boxscore/_/gameId/401736123"
2025-05-21,"https://www.espn.com/wnba/boxscore/_/gameId/401736124"
2025-05-21,"https://www.espn.com/wnba/boxscore/_/gameId/401736125"
2025-05-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736126"
2025-05-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736127"
2025-05-23,"https://www.espn.com/wnba/boxscore/_/gameId/401736128"
2025-05-23,"https://www.espn.com/wnba/boxscore/_/gameId/401736129"
2025-05-23,"https://www.espn.com/wnba/boxscore/_/gameId/401736130"
2025-05-23,"https://www.espn.com/wnba/boxscore/_/gameId/401736131"
2025-05-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736132"
2025-05-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736133"
2025-05-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736134"
2025-05-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736135"
2025-05-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736136"
2025-05-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736137"
2025-05-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736138"
2025-05-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736139"
2025-05-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736140"
2025-05-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736141"
2025-05-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736142"
2025-05-28,"https://www.espn.com/wnba/boxscore/_/gameId/401736143"
2025-05-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736144"
2025-05-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736145"
2025-05-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736146"
2025-05-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736147"
2025-05-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736148"
2025-05-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736149"
2025-05-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736150"
2025-05-31,"https://www.espn.com/wnba/boxscore/_/gameId/401736151"
2025-06-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736152"
2025-06-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736153"
2025-06-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736154"
2025-06-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736155"
2025-06-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736156"
2025-06-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736157"
2025-06-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736158"
2025-06-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736159"
2025-06-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736160"
2025-06-06,"https://www.espn.com/wnba/boxscore/_/gameId/401736161"
2025-06-06,"https://www.espn.com/wnba/boxscore/_/gameId/401736162"
2025-06-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736163"
2025-06-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736164"
2025-06-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736165"
2025-06-08,"https://www.espn.com/wnba/boxscore/_/gameId/401736166"
2025-06-08,"https://www.espn.com/wnba/boxscore/_/gameId/401736167"
2025-06-09,"https://www.espn.com/wnba/boxscore/_/gameId/401736168"
2025-06-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736169"
2025-06-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736170"
2025-06-11,"https://www.espn.com/wnba/boxscore/_/gameId/401736171"
2025-06-11,"https://www.espn.com/wnba/boxscore/_/gameId/401736172"
2025-06-11,"https://www.espn.com/wnba/boxscore/_/gameId/401736173"
2025-06-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736174"
2025-06-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736175"
2025-06-14,"https://www.espn.com/wnba/boxscore/_/gameId/401736176"
2025-06-14,"https://www.espn.com/wnba/boxscore/_/gameId/401736177"
2025-06-14,"https://www.espn.com/wnba/boxscore/_/gameId/401736178"
2025-06-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736179"
2025-06-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736180"
2025-06-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736181"
2025-06-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736182"
2025-06-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736183"
2025-06-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736184"
2025-06-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736185"
2025-06-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736186"
2025-06-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736187"
2025-06-18,"https://www.espn.com/wnba/boxscore/_/gameId/401736188"
2025-06-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736189"
2025-06-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736190"
2025-06-20,"https://www.espn.com/wnba/boxscore/_/gameId/401736191"
2025-06-20,"https://www.espn.com/wnba/boxscore/_/gameId/401736192"
2025-06-20,"https://www.espn.com/wnba/boxscore/_/gameId/401736193"
2025-06-21,"https://www.espn.com/wnba/boxscore/_/gameId/401736194"
2025-06-21,"https://www.espn.com/wnba/boxscore/_/gameId/401736195"
2025-06-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736196"
2025-06-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736197"
2025-06-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736198"
2025-06-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736199"
2025-06-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736200"
2025-06-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736201"
2025-06-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736202"
2025-06-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736203"
2025-06-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736204"
2025-06-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736205"
2025-06-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736206"
2025-06-26,"https://www.espn.com/wnba/boxscore/_/gameId/401736207"
2025-06-26,"https://www.espn.com/wnba/boxscore/_/gameId/401736208"
2025-06-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736209"
2025-06-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736210"
2025-06-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736211"
2025-06-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736212"
2025-06-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736213"
2025-06-28,"https://www.espn.com/wnba/boxscore/_/gameId/401736214"
2025-06-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736215"
2025-06-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736216"
2025-06-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736217"
2025-06-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736218"
2025-06-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736219"
2025-07-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736220"
2025-07-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736221"
2025-07-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736222"
2025-07-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736223"
2025-07-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736224"
2025-07-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736225"
2025-07-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736226"
2025-07-06,"https://www.espn.com/wnba/boxscore/_/gameId/401736227"
2025-07-06,"https://www.espn.com/wnba/boxscore/_/gameId/401736228"
2025-07-06,"https://www.espn.com/wnba/boxscore/_/gameId/401736229"
2025-07-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736230"
2025-07-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736231"
2025-07-08,"https://www.espn.com/wnba/boxscore/_/gameId/401736232"
2025-07-08,"https://www.espn.com/wnba/boxscore/_/gameId/401736233"
2025-07-09,"https://www.espn.com/wnba/boxscore/_/gameId/401736234"
2025-07-09,"https://www.espn.com/wnba/boxscore/_/gameId/401736235"
2025-07-09,"https://www.espn.com/wnba/boxscore/_/gameId/401736236"
2025-07-09,"https://www.espn.com/wnba/boxscore/_/gameId/401736237"
2025-07-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736238"
2025-07-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736239"
2025-07-11,"https://www.espn.com/wnba/boxscore/_/gameId/401736240"
2025-07-11,"https://www.espn.com/wnba/boxscore/_/gameId/401736241"
2025-07-12,"https://www.espn.com/wnba/boxscore/_/gameId/401736242"
2025-07-12,"https://www.espn.com/wnba/boxscore/_/gameId/401736243"
2025-07-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736244"
2025-07-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736245"
2025-07-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736246"
2025-07-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736247"
2025-07-14,"https://www.espn.com/wnba/boxscore/_/gameId/401736248"
2025-07-14,"https://www.espn.com/wnba/boxscore/_/gameId/401736249"
2025-07-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736250"
2025-07-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736251"
2025-07-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736252"
2025-07-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736253"
2025-07-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736254"
2025-07-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736255"
2025-07-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736256"
2025-07-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736257"
2025-07-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736258"
2025-07-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736259"
2025-07-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736260"
2025-07-22,"https://www.espn.com/wnba/boxscore/_/gameId/401736261"
2025-07-23,"https://www.espn.com/wnba/boxscore/_/gameId/401736262"
2025-07-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736263"
2025-07-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736264"
2025-07-24,"https://www.espn.com/wnba/boxscore/_/gameId/401736265"
2025-07-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736266"
2025-07-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736267"
2025-07-25,"https://www.espn.com/wnba/boxscore/_/gameId/401736268"
2025-07-26,"https://www.espn.com/wnba/boxscore/_/gameId/401736270"
2025-07-26,"https://www.espn.com/wnba/boxscore/_/gameId/401736271"
2025-07-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736269"
2025-07-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736272"
2025-07-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736273"
2025-07-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736274"
2025-07-27,"https://www.espn.com/wnba/boxscore/_/gameId/401736275"
2025-07-28,"https://www.espn.com/wnba/boxscore/_/gameId/401736276"
2025-07-28,"https://www.espn.com/wnba/boxscore/_/gameId/401736277"
2025-07-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736278"
2025-07-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736279"
2025-07-29,"https://www.espn.com/wnba/boxscore/_/gameId/401736280"
2025-07-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736281"
2025-07-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736282"
2025-07-30,"https://www.espn.com/wnba/boxscore/_/gameId/401736283"
2025-07-31,"https://www.espn.com/wnba/boxscore/_/gameId/401736284"
2025-08-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736285"
2025-08-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736286"
2025-08-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736287"
2025-08-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736288"
2025-08-01,"https://www.espn.com/wnba/boxscore/_/gameId/401736289"
2025-08-02,"https://www.espn.com/wnba/boxscore/_/gameId/401736290"
2025-08-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736291"
2025-08-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736292"
2025-08-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736293"
2025-08-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736294"
2025-08-03,"https://www.espn.com/wnba/boxscore/_/gameId/401736295"
2025-08-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736296"
2025-08-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736297"
2025-08-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736298"
2025-08-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736299"
2025-08-05,"https://www.espn.com/wnba/boxscore/_/gameId/401736300"
2025-08-06,"https://www.espn.com/wnba/boxscore/_/gameId/401736301"
2025-08-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736302"
2025-08-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736303"
2025-08-07,"https://www.espn.com/wnba/boxscore/_/gameId/401736304"
2025-08-08,"https://www.espn.com/wnba/boxscore/_/gameId/401736305"
2025-08-08,"https://www.espn.com/wnba/boxscore/_/gameId/401736306"
2025-08-08,"https://www.espn.com/wnba/boxscore/_/gameId/401736307"
2025-08-09,"https://www.espn.com/wnba/boxscore/_/gameId/401736308"
2025-08-09,"https://www.espn.com/wnba/boxscore/_/gameId/401736309"
2025-08-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736310"
2025-08-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736311"
2025-08-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736312"
2025-08-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736313"
2025-08-10,"https://www.espn.com/wnba/boxscore/_/gameId/401736314"
2025-08-11,"https://www.espn.com/wnba/boxscore/_/gameId/401736315"
2025-08-12,"https://www.espn.com/wnba/boxscore/_/gameId/401736316"
2025-08-12,"https://www.espn.com/wnba/boxscore/_/gameId/401736317"
2025-08-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736318"
2025-08-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736319"
2025-08-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736320"
2025-08-13,"https://www.espn.com/wnba/boxscore/_/gameId/401736321"
2025-08-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736322"
2025-08-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736323"
2025-08-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736324"
2025-08-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736325"
2025-08-15,"https://www.espn.com/wnba/boxscore/_/gameId/401736326"
2025-08-16,"https://www.espn.com/wnba/boxscore/_/gameId/401736327"
2025-08-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736328"
2025-08-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736329"
2025-08-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736330"
2025-08-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736331"
2025-08-17,"https://www.espn.com/wnba/boxscore/_/gameId/401736332"
2025-08-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736333"
2025-08-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736334"
2025-08-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736335"
2025-08-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736336"
2025-08-19,"https://www.espn.com/wnba/boxscore/_/gameId/401736337"
2025-08-20,"https://www.espn.com/wnba/boxscore/_/gameId/401736338"
